Year,Rank,Institution,Code,Country,academic_reputation,employer_reputation,faculty_student,citations_per_faculty,international_faculty,international_students,Overall
1/1/2022,27,The University of Manchester,UK,United Kingdom,95.2,98,72.5,58.1,94,99.3,84
1/1/2022,30,Northwestern University,US,United States,84.4,74.7,99.3,87.1,30,49.6,82.8
1/1/2022,31,Fudan University,CN,China (Mainland),84.8,89.1,91.5,71.1,93.3,45.5,82.6
1/1/2022,32,"University of California, Berkeley (UCB)",US,United States,100,100,23.3,99.9,95.4,55.3,82.5
1/1/2022,33,Kyoto University,JP,Japan,98.7,97.8,96,60.3,5.4,22.7,82.3
1/1/2022,34,The Hong Kong University of Science and Technology,HK,Hong Kong SAR,84.2,60.7,64.8,98.2,100,89.2,82.2
1/1/2022,35,King's College London,UK,United Kingdom,88.9,86.2,83.4,53.9,99.2,100,82
1/1/2022,36,Seoul National University,KR,South Korea,98.3,96.5,83.9,75,4,8.9,81.7
1/1/2022,37,The University of Melbourne,AU,Australia,98.9,97.3,19.9,89.7,97.1,99.9,81.4
1/1/2022,38,The University of Sydney,AU,Australia,96.8,95.4,20.9,87.9,100,100,80.4
1/1/2022,39,The Chinese University of Hong Kong (CUHK),HK,Hong Kong SAR,88.8,56.7,62.6,83.2,100,91.8,80.3
1/1/2022,40,"University of California, Los Angeles (UCLA)",US,United States,100,99.9,42.5,90.5,28.9,26.7,79.7
1/1/2022,41,KAIST - Korea Advanced Institute of Science & Technology,KR,South Korea,87.5,83.1,73.1,98.8,8.5,12,79.1
1/1/2022,42,New York University (NYU),US,United States,95.9,98.6,96.6,27.7,14.6,95.6,78.9
1/1/2022,43,The University of New South Wales (UNSW Sydney),AU,Australia,90.4,94.4,15.2,93.5,100,99.8,77.7
1/1/2022,44,Université PSL,FR,France,75.8,95.9,99.9,55.1,57.5,70.5,77.6
1/1/2022,45,Zhejiang University,CN,China (Mainland),71.2,91.5,88,69,98.5,63,77.4
1/1/2022,46,University of British Columbia,CA,Canada,97.6,94.2,52.7,46.8,89.1,79,77.1
1/1/2022,47,The University of Queensland,AU,Australia,88.2,80.2,25.4,89.4,100,100,76.6
